U(kt) FSum N PF(DU) F GSum N PG(DU) G G-F Widom 
-50.009 0 108000 2.22507e-308 -683.392 0 256000 2.22507e-308 -733.401 -50.009 9.60239 
-49.5089 0 108000 2.22507e-308 -683.642 0 256000 2.22507e-308 -733.151 -49.5089 9.60239 
-49.0088 0 108000 2.22507e-308 -683.892 0 256000 2.22507e-308 -732.901 -49.0088 9.60239 
-48.5087 0 108000 2.22507e-308 -684.142 0 256000 2.22507e-308 -732.651 -48.5087 9.60239 
-48.0086 0 108000 2.22507e-308 -684.392 0 256000 2.22507e-308 -732.401 -48.0086 9.60239 
-47.5086 0 108000 2.22507e-308 -684.642 0 256000 2.22507e-308 -732.151 -47.5086 9.60239 
-47.0085 0 108000 2.22507e-308 -684.892 0 256000 2.22507e-308 -731.901 -47.0085 9.60239 
-46.5084 0 108000 2.22507e-308 -685.142 0 256000 2.22507e-308 -731.651 -46.5084 9.60239 
-46.0083 0 108000 2.22507e-308 -685.392 0 256000 2.22507e-308 -731.401 -46.0083 9.60239 
-45.5082 0 108000 2.22507e-308 -685.642 0 256000 2.22507e-308 -731.151 -45.5082 9.60239 
-45.0081 0 108000 2.22507e-308 -685.892 0 256000 2.22507e-308 -730.9 -45.0081 9.60239 
-44.508 0 108000 2.22507e-308 -686.142 0 256000 2.22507e-308 -730.65 -44.508 9.60239 
-44.0079 0 108000 2.22507e-308 -686.392 0 256000 2.22507e-308 -730.4 -44.0079 9.60239 
-43.5078 0 108000 2.22507e-308 -686.643 0 256000 2.22507e-308 -730.15 -43.5078 9.60239 
-43.0077 0 108000 2.22507e-308 -686.893 0 256000 2.22507e-308 -729.9 -43.0077 9.60239 
-42.5077 0 108000 2.22507e-308 -687.143 0 256000 2.22507e-308 -729.65 -42.5077 9.60239 
-42.0076 0 108000 2.22507e-308 -687.393 0 256000 2.22507e-308 -729.4 -42.0076 9.60239 
-41.5075 0 108000 2.22507e-308 -687.643 0 256000 2.22507e-308 -729.15 -41.5075 9.60239 
-41.0074 0 108000 2.22507e-308 -687.893 0 256000 2.22507e-308 -728.9 -41.0074 9.60239 
-40.5073 0 108000 2.22507e-308 -688.143 0 256000 2.22507e-308 -728.65 -40.5073 9.60239 
-40.0072 0 108000 2.22507e-308 -688.393 0 256000 2.22507e-308 -728.4 -40.0072 9.60239 
-39.5071 0 108000 2.22507e-308 -688.643 0 256000 2.22507e-308 -728.15 -39.5071 9.60239 
-39.007 0 108000 2.22507e-308 -688.893 0 256000 2.22507e-308 -727.9 -39.007 9.60239 
-38.5069 0 108000 2.22507e-308 -689.143 0 256000 2.22507e-308 -727.65 -38.5069 9.60239 
-38.0068 0 108000 2.22507e-308 -689.393 0 256000 2.22507e-308 -727.4 -38.0068 9.60239 
-37.5068 0 108000 2.22507e-308 -689.643 0 256000 2.22507e-308 -727.15 -37.5068 9.60239 
-37.0067 0 108000 2.22507e-308 -689.893 0 256000 2.22507e-308 -726.9 -37.0067 9.60239 
-36.5066 0 108000 2.22507e-308 -690.143 0 256000 2.22507e-308 -726.65 -36.5066 9.60239 
-36.0065 0 108000 2.22507e-308 -690.393 0 256000 2.22507e-308 -726.4 -36.0065 9.60239 
-35.5064 0 108000 2.22507e-308 -690.643 0 256000 2.22507e-308 -726.15 -35.5064 9.60239 
-35.0063 0 108000 2.22507e-308 -690.893 0 256000 2.22507e-308 -725.9 -35.0063 9.60239 
-34.5062 0 108000 2.22507e-308 -691.143 0 256000 2.22507e-308 -725.65 -34.5062 9.60239 
-34.0061 0 108000 2.22507e-308 -691.393 0 256000 2.22507e-308 -725.399 -34.0061 9.60239 
-33.506 0 108000 2.22507e-308 -691.643 0 256000 2.22507e-308 -725.149 -33.506 9.60239 
-33.0059 0 108000 2.22507e-308 -691.893 0 256000 2.22507e-308 -724.899 -33.0059 9.60239 
-32.5059 0 108000 2.22507e-308 -692.143 0 256000 2.22507e-308 -724.649 -32.5059 9.60239 
-32.0058 0 108000 2.22507e-308 -692.394 0 256000 2.22507e-308 -724.399 -32.0058 9.60239 
-31.5057 0 108000 2.22507e-308 -692.644 0 256000 2.22507e-308 -724.149 -31.5057 9.60239 
-31.0056 0 108000 2.22507e-308 -692.894 0 256000 2.22507e-308 -723.899 -31.0056 9.60239 
-30.5055 0 108000 2.22507e-308 -693.144 0 256000 2.22507e-308 -723.649 -30.5055 9.60239 
-30.0054 0 108000 2.22507e-308 -693.394 0 256000 2.22507e-308 -723.399 -30.0054 9.60239 
-29.5053 0 108000 2.22507e-308 -693.644 0 256000 2.22507e-308 -723.149 -29.5053 9.60239 
-29.0052 0 108000 2.22507e-308 -693.894 0 256000 2.22507e-308 -722.899 -29.0052 9.60239 
-28.5051 0 108000 2.22507e-308 -694.144 0 256000 2.22507e-308 -722.649 -28.5051 9.60239 
-28.005 0 108000 2.22507e-308 -694.394 0 256000 2.22507e-308 -722.399 -28.005 9.60239 
-27.505 0 108000 2.22507e-308 -694.644 0 256000 2.22507e-308 -722.149 -27.505 9.60239 
-27.0049 0 108000 2.22507e-308 -694.894 0 256000 2.22507e-308 -721.899 -27.0049 9.60239 
-26.5048 0 108000 2.22507e-308 -695.144 0 256000 2.22507e-308 -721.649 -26.5048 9.60239 
-26.0047 0 108000 2.22507e-308 -695.394 0 256000 2.22507e-308 -721.399 -26.0047 9.60239 
-25.5046 0 108000 2.22507e-308 -695.644 0 256000 2.22507e-308 -721.149 -25.5046 9.60239 
-25.0045 0 108000 2.22507e-308 -695.894 0 256000 2.22507e-308 -720.899 -25.0045 9.60239 
-24.5044 0 108000 2.22507e-308 -696.144 0 256000 2.22507e-308 -720.649 -24.5044 9.60239 
-24.0043 0 108000 2.22507e-308 -696.394 0 256000 2.22507e-308 -720.399 -24.0043 9.60239 
-23.5042 0 108000 2.22507e-308 -696.644 0 256000 2.22507e-308 -720.149 -23.5042 9.60239 
-23.0041 0 108000 2.22507e-308 -696.894 0 256000 2.22507e-308 -719.898 -23.0041 9.60239 
-22.5041 0 108000 2.22507e-308 -697.144 0 256000 2.22507e-308 -719.648 -22.5041 9.60239 
-22.004 0 108000 2.22507e-308 -697.394 0 256000 2.22507e-308 -719.398 -22.004 9.60239 
-21.5039 0 108000 2.22507e-308 -697.644 0 256000 2.22507e-308 -719.148 -21.5039 9.60239 
-21.0038 0 108000 2.22507e-308 -697.895 0 256000 2.22507e-308 -718.898 -21.0038 9.60239 
-20.5037 0 108000 2.22507e-308 -698.145 0 256000 2.22507e-308 -718.648 -20.5037 9.60239 
-20.0036 0 108000 2.22507e-308 -698.395 0 256000 2.22507e-308 -718.398 -20.0036 9.60239 
-19.5035 0 108000 2.22507e-308 -698.645 0 256000 2.22507e-308 -718.148 -19.5035 9.60239 
-19.0034 0 108000 2.22507e-308 -698.895 0 256000 2.22507e-308 -717.898 -19.0034 9.60239 
-18.5033 0 108000 2.22507e-308 -699.145 0 256000 2.22507e-308 -717.648 -18.5033 9.60239 
-18.0032 0 108000 2.22507e-308 -699.395 0 256000 2.22507e-308 -717.398 -18.0032 9.60239 
-17.5032 0 108000 2.22507e-308 -699.645 0 256000 2.22507e-308 -717.148 -17.5032 9.60239 
-17.0031 0 108000 2.22507e-308 -699.895 0 256000 2.22507e-308 -716.898 -17.0031 9.60239 
-16.503 0 108000 2.22507e-308 -700.145 0 256000 2.22507e-308 -716.648 -16.503 9.60239 
-16.0029 0 108000 2.22507e-308 -700.395 0 256000 2.22507e-308 -716.398 -16.0029 9.60239 
-15.5028 0 108000 2.22507e-308 -700.645 0 256000 2.22507e-308 -716.148 -15.5028 9.60239 
-15.0027 0 108000 2.22507e-308 -700.895 0 256000 2.22507e-308 -715.898 -15.0027 9.60239 
-14.5026 0 108000 2.22507e-308 -701.145 0 256000 2.22507e-308 -715.648 -14.5026 9.60239 
-14.0025 0 108000 2.22507e-308 -701.395 0 256000 2.22507e-308 -715.398 -14.0025 9.60239 
-13.5024 0 108000 2.22507e-308 -701.645 0 256000 2.22507e-308 -715.148 -13.5024 9.60239 
-13.0023 0 108000 2.22507e-308 -701.895 0 256000 2.22507e-308 -714.898 -13.0023 9.60239 
-12.5023 0 108000 2.22507e-308 -702.145 0 256000 2.22507e-308 -714.648 -12.5023 9.60239 
-12.0022 0 108000 2.22507e-308 -702.395 0 256000 2.22507e-308 -714.397 -12.0022 9.60239 
-11.5021 0 108000 2.22507e-308 -702.645 0 256000 2.22507e-308 -714.147 -11.5021 9.60239 
-11.002 0 108000 2.22507e-308 -702.895 0 256000 2.22507e-308 -713.897 -11.002 9.60239 
-10.5019 0 108000 2.22507e-308 -703.145 0 256000 2.22507e-308 -713.647 -10.5019 9.60239 
-10.0018 0 108000 2.22507e-308 -703.396 0 256000 2.22507e-308 -713.397 -10.0018 9.60239 
-9.50171 0 108000 2.22507e-308 -703.646 0 256000 2.22507e-308 -713.147 -9.50171 9.60239 
-9.00162 0 108000 2.22507e-308 -703.896 0 256000 2.22507e-308 -712.897 -9.00162 9.60239 
-8.50153 0 108000 2.22507e-308 -704.146 0 256000 2.22507e-308 -712.647 -8.50153 9.60239 
-8.00144 0 108000 2.22507e-308 -704.396 68 256000 0.000265625 -12.2341 692.162 9.60239 
-7.50135 0 108000 2.22507e-308 -704.646 1854 256000 0.00724219 -8.67851 695.967 9.60239 
-7.00126 0 108000 2.22507e-308 -704.896 9875 256000 0.0385742 -6.7558 698.14 9.60239 
-6.50117 0 108000 2.22507e-308 -705.146 22357 256000 0.087332 -5.68862 699.457 9.60239 
-6.00108 0 108000 2.22507e-308 -705.396 30633 256000 0.11966 -5.12364 700.272 9.60239 
-5.50099 0 108000 2.22507e-308 -705.646 33717 256000 0.131707 -4.77767 700.868 9.60239 
-5.0009 0 108000 2.22507e-308 -705.896 32843 256000 0.128293 -4.55389 701.342 9.60239 
-4.50081 0 108000 2.22507e-308 -706.146 28981 256000 0.113207 -4.42894 701.717 9.60239 
-4.00072 0 108000 2.22507e-308 -706.396 23769 256000 0.0928477 -4.37716 702.019 9.60239 
-3.50063 0 108000 2.22507e-308 -706.646 19202 256000 0.0750078 -4.34048 702.306 9.60239 
-3.00054 0 108000 2.22507e-308 -706.896 14558 256000 0.0568672 -4.36731 702.529 9.60239 
-2.50045 0 108000 2.22507e-308 -707.146 11029 256000 0.043082 -4.39487 702.751 9.60239 
-2.00036 1 108000 9.25926e-06 -10.5897 7976 256000 0.0311562 -4.46892 6.12079 9.60239 
-1.50027 0 108000 2.22507e-308 -707.646 5853 256000 0.0228633 -4.52836 703.118 9.60239 
-1.00018 0 108000 2.22507e-308 -707.896 4197 256000 0.0163945 -4.6109 703.285 9.60239 
-0.50009 0 108000 2.22507e-308 -708.146 2983 256000 0.0116523 -4.70229 703.444 9.60239 
0 0 108000 2.22507e-308 -708.396 1981 256000 0.00773828 -4.86158 703.535 9.60239 
0.50009 1 108000 9.25926e-06 -11.8399 1333 256000 0.00520703 -5.0077 6.83223 9.60239 
1.00018 0 108000 2.22507e-308 -708.897 929 256000 0.00362891 -5.11873 703.778 9.60239 
1.50027 0 108000 2.22507e-308 -709.147 627 256000 0.00244922 -5.26185 703.885 9.60239 
2.00036 1 108000 9.25926e-06 -12.5901 426 256000 0.00166406 -5.39831 7.19175 9.60239 
2.50045 0 108000 2.22507e-308 -709.647 265 256000 0.00103516 -5.62298 704.024 9.60239 
3.00054 1 108000 9.25926e-06 -13.0902 193 256000 0.000753906 -5.68997 7.40018 9.60239 
3.50063 0 108000 2.22507e-308 -710.147 122 256000 0.000476562 -5.8986 704.248 9.60239 
4.00072 0 108000 2.22507e-308 -710.397 82 256000 0.000320313 -6.04585 704.351 9.60239 
4.50081 0 108000 2.22507e-308 -710.647 56 256000 0.00021875 -6.17718 704.47 9.60239 
5.0009 0 108000 2.22507e-308 -710.897 33 256000 0.000128906 -6.45597 704.441 9.60239 
5.50099 0 108000 2.22507e-308 -711.147 21 256000 8.20313e-05 -6.65792 704.489 9.60239 
6.00108 3 108000 2.77778e-05 -13.4918 15 256000 5.85937e-05 -6.74434 6.74747 9.60239 
6.50117 0 108000 2.22507e-308 -711.647 12 256000 4.6875e-05 -6.71744 704.93 9.60239 
7.00126 0 108000 2.22507e-308 -711.897 4 256000 1.5625e-05 -7.56601 704.331 9.60239 
7.50135 1 108000 9.25926e-06 -15.3406 3 256000 1.17188e-05 -7.60365 7.73692 9.60239 
8.00144 1 108000 9.25926e-06 -15.5906 2 256000 7.8125e-06 -7.75907 7.83154 9.60239 
8.50153 1 108000 9.25926e-06 -15.8407 0 256000 2.22507e-308 -704.146 -688.305 9.60239 
9.00162 1 108000 9.25926e-06 -16.0907 1 256000 3.90625e-06 -7.95212 8.13857 9.60239 
9.50171 0 108000 2.22507e-308 -713.147 0 256000 2.22507e-308 -703.646 9.50171 9.60239 
10.0018 0 108000 2.22507e-308 -713.397 0 256000 2.22507e-308 -703.396 10.0018 9.60239 
10.5019 3 108000 2.77778e-05 -15.7422 0 256000 2.22507e-308 -703.145 -687.403 9.60239 
11.002 0 108000 2.22507e-308 -713.897 0 256000 2.22507e-308 -702.895 11.002 9.60239 
11.5021 0 108000 2.22507e-308 -714.147 0 256000 2.22507e-308 -702.645 11.5021 9.60239 
12.0022 0 108000 2.22507e-308 -714.397 0 256000 2.22507e-308 -702.395 12.0022 9.60239 
12.5023 2 108000 1.85185e-05 -17.1479 0 256000 2.22507e-308 -702.145 -684.997 9.60239 
13.0023 4 108000 3.7037e-05 -16.7048 0 256000 2.22507e-308 -701.895 -685.19 9.60239 
13.5024 1 108000 9.25926e-06 -18.3411 0 256000 2.22507e-308 -701.645 -683.304 9.60239 
14.0025 0 108000 2.22507e-308 -715.398 0 256000 2.22507e-308 -701.395 14.0025 9.60239 
14.5026 2 108000 1.85185e-05 -18.148 0 256000 2.22507e-308 -701.145 -682.997 9.60239 
15.0027 4 108000 3.7037e-05 -17.7049 0 256000 2.22507e-308 -700.895 -683.19 9.60239 
15.5028 0 108000 2.22507e-308 -716.148 0 256000 2.22507e-308 -700.645 15.5028 9.60239 
16.0029 2 108000 1.85185e-05 -18.8982 0 256000 2.22507e-308 -700.395 -681.497 9.60239 
16.503 1 108000 9.25926e-06 -19.8414 0 256000 2.22507e-308 -700.145 -680.304 9.60239 
17.0031 1 108000 9.25926e-06 -20.0914 0 256000 2.22507e-308 -699.895 -679.803 9.60239 
17.5032 0 108000 2.22507e-308 -717.148 0 256000 2.22507e-308 -699.645 17.5032 9.60239 
18.0032 1 108000 9.25926e-06 -20.5915 0 256000 2.22507e-308 -699.395 -678.803 9.60239 
18.5033 2 108000 1.85185e-05 -20.1484 0 256000 2.22507e-308 -699.145 -678.996 9.60239 
19.0034 1 108000 9.25926e-06 -21.0916 0 256000 2.22507e-308 -698.895 -677.803 9.60239 
19.5035 4 108000 3.7037e-05 -19.9553 0 256000 2.22507e-308 -698.645 -678.689 9.60239 
20.0036 1 108000 9.25926e-06 -21.5917 0 256000 2.22507e-308 -698.395 -676.803 9.60239 
20.5037 3 108000 2.77778e-05 -20.7431 0 256000 2.22507e-308 -698.145 -677.401 9.60239 
21.0038 6 108000 5.55556e-05 -20.3 0 256000 2.22507e-308 -697.895 -677.595 9.60239 
21.5039 3 108000 2.77778e-05 -21.2432 0 256000 2.22507e-308 -697.644 -676.401 9.60239 
22.004 1 108000 9.25926e-06 -22.5919 0 256000 2.22507e-308 -697.394 -674.803 9.60239 
22.5041 2 108000 1.85185e-05 -22.1488 0 256000 2.22507e-308 -697.144 -674.996 9.60239 
23.0041 1 108000 9.25926e-06 -23.092 0 256000 2.22507e-308 -696.894 -673.802 9.60239 
23.5042 1 108000 9.25926e-06 -23.342 0 256000 2.22507e-308 -696.644 -673.302 9.60239 
24.0043 1 108000 9.25926e-06 -23.592 0 256000 2.22507e-308 -696.394 -672.802 9.60239 
24.5044 4 108000 3.7037e-05 -22.4558 0 256000 2.22507e-308 -696.144 -673.688 9.60239 
25.0045 8 108000 7.40741e-05 -22.0127 0 256000 2.22507e-308 -695.894 -673.881 9.60239 
25.5046 4 108000 3.7037e-05 -22.9559 0 256000 2.22507e-308 -695.644 -672.688 9.60239 
26.0047 7 108000 6.48148e-05 -22.6463 0 256000 2.22507e-308 -695.394 -672.748 9.60239 
26.5048 6 108000 5.55556e-05 -23.0505 0 256000 2.22507e-308 -695.144 -672.094 9.60239 
27.0049 2 108000 1.85185e-05 -24.3992 0 256000 2.22507e-308 -694.894 -670.495 9.60239 
27.505 5 108000 4.62963e-05 -23.7329 0 256000 2.22507e-308 -694.644 -670.911 9.60239 
28.005 5 108000 4.62963e-05 -23.983 0 256000 2.22507e-308 -694.394 -670.411 9.60239 
28.5051 3 108000 2.77778e-05 -24.7438 0 256000 2.22507e-308 -694.144 -669.4 9.60239 
29.0052 4 108000 3.7037e-05 -24.7062 0 256000 2.22507e-308 -693.894 -669.188 9.60239 
29.5053 2 108000 1.85185e-05 -25.6494 0 256000 2.22507e-308 -693.644 -667.994 9.60239 
30.0054 5 108000 4.62963e-05 -24.9831 0 256000 2.22507e-308 -693.394 -668.411 9.60239 
30.5055 3 108000 2.77778e-05 -25.744 0 256000 2.22507e-308 -693.144 -667.4 9.60239 
31.0056 4 108000 3.7037e-05 -25.7064 0 256000 2.22507e-308 -692.894 -667.187 9.60239 
31.5057 2 108000 1.85185e-05 -26.6496 0 256000 2.22507e-308 -692.644 -665.994 9.60239 
32.0058 3 108000 2.77778e-05 -26.4942 0 256000 2.22507e-308 -692.394 -665.899 9.60239 
32.5059 5 108000 4.62963e-05 -26.2334 0 256000 2.22507e-308 -692.143 -665.91 9.60239 
33.0059 3 108000 2.77778e-05 -26.9942 0 256000 2.22507e-308 -691.893 -664.899 9.60239 
33.506 7 108000 6.48148e-05 -26.397 0 256000 2.22507e-308 -691.643 -665.246 9.60239 
34.0061 3 108000 2.77778e-05 -27.4943 0 256000 2.22507e-308 -691.393 -663.899 9.60239 
34.5062 4 108000 3.7037e-05 -27.4567 0 256000 2.22507e-308 -691.143 -663.687 9.60239 
35.0063 2 108000 1.85185e-05 -28.3999 0 256000 2.22507e-308 -690.893 -662.493 9.60239 
35.5064 4 108000 3.7037e-05 -27.9568 0 256000 2.22507e-308 -690.643 -662.686 9.60239 
36.0065 6 108000 5.55556e-05 -27.8014 0 256000 2.22507e-308 -690.393 -662.592 9.60239 
36.5066 2 108000 1.85185e-05 -29.15 0 256000 2.22507e-308 -690.143 -660.993 9.60239 
37.0067 7 108000 6.48148e-05 -28.1473 0 256000 2.22507e-308 -689.893 -661.746 9.60239 
37.5068 4 108000 3.7037e-05 -28.957 0 256000 2.22507e-308 -689.643 -660.686 9.60239 
38.0068 6 108000 5.55556e-05 -28.8015 0 256000 2.22507e-308 -689.393 -660.591 9.60239 
38.5069 5 108000 4.62963e-05 -29.2339 0 256000 2.22507e-308 -689.143 -659.909 9.60239 
39.007 2 108000 1.85185e-05 -30.4003 0 256000 2.22507e-308 -688.893 -658.493 9.60239 
39.5071 4 108000 3.7037e-05 -29.9571 0 256000 2.22507e-308 -688.643 -658.686 9.60239 
40.0072 5 108000 4.62963e-05 -29.984 0 256000 2.22507e-308 -688.393 -658.409 9.60239 
40.5073 3 108000 2.77778e-05 -30.7449 0 256000 2.22507e-308 -688.143 -657.398 9.60239 
41.0074 8 108000 7.40741e-05 -30.0141 0 256000 2.22507e-308 -687.893 -657.879 9.60239 
41.5075 1 108000 9.25926e-06 -32.3436 0 256000 2.22507e-308 -687.643 -655.299 9.60239 
42.0076 7 108000 6.48148e-05 -30.6478 0 256000 2.22507e-308 -687.393 -656.745 9.60239 
42.5077 3 108000 2.77778e-05 -31.7451 0 256000 2.22507e-308 -687.143 -655.397 9.60239 
43.0077 8 108000 7.40741e-05 -31.0143 0 256000 2.22507e-308 -686.893 -655.878 9.60239 
43.5078 2 108000 1.85185e-05 -32.6507 0 256000 2.22507e-308 -686.643 -653.992 9.60239 
44.0079 5 108000 4.62963e-05 -31.9844 0 256000 2.22507e-308 -686.392 -654.408 9.60239 
44.508 5 108000 4.62963e-05 -32.2345 0 256000 2.22507e-308 -686.142 -653.908 9.60239 
45.0081 2 108000 1.85185e-05 -33.4008 0 256000 2.22507e-308 -685.892 -652.492 9.60239 
45.5082 2 108000 1.85185e-05 -33.6508 0 256000 2.22507e-308 -685.642 -651.991 9.60239 
46.0083 5 108000 4.62963e-05 -32.9846 0 256000 2.22507e-308 -685.392 -652.408 9.60239 
46.5084 2 108000 1.85185e-05 -34.1509 0 256000 2.22507e-308 -685.142 -650.991 9.60239 
47.0085 5 108000 4.62963e-05 -33.4847 0 256000 2.22507e-308 -684.892 -651.408 9.60239 
47.5086 4 108000 3.7037e-05 -33.9579 0 256000 2.22507e-308 -684.642 -650.684 9.60239 
48.0086 8 108000 7.40741e-05 -33.5148 0 256000 2.22507e-308 -684.392 -650.877 9.60239 
48.5087 5 108000 4.62963e-05 -34.2348 0 256000 2.22507e-308 -684.142 -649.907 9.60239 
49.0088 8 108000 7.40741e-05 -34.0149 0 256000 2.22507e-308 -683.892 -649.877 9.60239 
49.5089 3 108000 2.77778e-05 -35.2457 0 256000 2.22507e-308 -683.642 -648.396 9.60239 
