U(kt) FSum N PF(DU) F GSum N PG(DU) G G-F Widom 
-50.009 0 1058400 2.22507e-308 -683.392 0 2508800 2.22507e-308 -733.401 -50.009 7.95062 
-49.5089 0 1058400 2.22507e-308 -683.642 0 2508800 2.22507e-308 -733.151 -49.5089 7.95062 
-49.0088 0 1058400 2.22507e-308 -683.892 0 2508800 2.22507e-308 -732.901 -49.0088 7.95062 
-48.5087 0 1058400 2.22507e-308 -684.142 0 2508800 2.22507e-308 -732.651 -48.5087 7.95062 
-48.0086 0 1058400 2.22507e-308 -684.392 0 2508800 2.22507e-308 -732.401 -48.0086 7.95062 
-47.5086 0 1058400 2.22507e-308 -684.642 0 2508800 2.22507e-308 -732.151 -47.5086 7.95062 
-47.0085 0 1058400 2.22507e-308 -684.892 0 2508800 2.22507e-308 -731.901 -47.0085 7.95062 
-46.5084 0 1058400 2.22507e-308 -685.142 0 2508800 2.22507e-308 -731.651 -46.5084 7.95062 
-46.0083 0 1058400 2.22507e-308 -685.392 0 2508800 2.22507e-308 -731.401 -46.0083 7.95062 
-45.5082 0 1058400 2.22507e-308 -685.642 0 2508800 2.22507e-308 -731.151 -45.5082 7.95062 
-45.0081 0 1058400 2.22507e-308 -685.892 0 2508800 2.22507e-308 -730.9 -45.0081 7.95062 
-44.508 0 1058400 2.22507e-308 -686.142 0 2508800 2.22507e-308 -730.65 -44.508 7.95062 
-44.0079 0 1058400 2.22507e-308 -686.392 0 2508800 2.22507e-308 -730.4 -44.0079 7.95062 
-43.5078 0 1058400 2.22507e-308 -686.643 0 2508800 2.22507e-308 -730.15 -43.5078 7.95062 
-43.0077 0 1058400 2.22507e-308 -686.893 0 2508800 2.22507e-308 -729.9 -43.0077 7.95062 
-42.5077 0 1058400 2.22507e-308 -687.143 0 2508800 2.22507e-308 -729.65 -42.5077 7.95062 
-42.0076 0 1058400 2.22507e-308 -687.393 0 2508800 2.22507e-308 -729.4 -42.0076 7.95062 
-41.5075 0 1058400 2.22507e-308 -687.643 0 2508800 2.22507e-308 -729.15 -41.5075 7.95062 
-41.0074 0 1058400 2.22507e-308 -687.893 0 2508800 2.22507e-308 -728.9 -41.0074 7.95062 
-40.5073 0 1058400 2.22507e-308 -688.143 0 2508800 2.22507e-308 -728.65 -40.5073 7.95062 
-40.0072 0 1058400 2.22507e-308 -688.393 0 2508800 2.22507e-308 -728.4 -40.0072 7.95062 
-39.5071 0 1058400 2.22507e-308 -688.643 0 2508800 2.22507e-308 -728.15 -39.5071 7.95062 
-39.007 0 1058400 2.22507e-308 -688.893 0 2508800 2.22507e-308 -727.9 -39.007 7.95062 
-38.5069 0 1058400 2.22507e-308 -689.143 0 2508800 2.22507e-308 -727.65 -38.5069 7.95062 
-38.0068 0 1058400 2.22507e-308 -689.393 0 2508800 2.22507e-308 -727.4 -38.0068 7.95062 
-37.5068 0 1058400 2.22507e-308 -689.643 0 2508800 2.22507e-308 -727.15 -37.5068 7.95062 
-37.0067 0 1058400 2.22507e-308 -689.893 0 2508800 2.22507e-308 -726.9 -37.0067 7.95062 
-36.5066 0 1058400 2.22507e-308 -690.143 0 2508800 2.22507e-308 -726.65 -36.5066 7.95062 
-36.0065 0 1058400 2.22507e-308 -690.393 0 2508800 2.22507e-308 -726.4 -36.0065 7.95062 
-35.5064 0 1058400 2.22507e-308 -690.643 0 2508800 2.22507e-308 -726.15 -35.5064 7.95062 
-35.0063 0 1058400 2.22507e-308 -690.893 0 2508800 2.22507e-308 -725.9 -35.0063 7.95062 
-34.5062 0 1058400 2.22507e-308 -691.143 0 2508800 2.22507e-308 -725.65 -34.5062 7.95062 
-34.0061 0 1058400 2.22507e-308 -691.393 0 2508800 2.22507e-308 -725.399 -34.0061 7.95062 
